,0605 6E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1321,
1,BALLOTS CAST - TOTAL.,63,
2,VOTER TURNOUT - TOTAL,,4.77
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,49,77.78
6,YOLANDA CANCEL.,6,9.52
7,JEFFERY P. DONNELLY,5,7.94
8,LINDA MATYS O'CONNELL,3,4.76
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,23,10.60
14,JESSE LEDERMAN.,18,8.29
15,KATERI B. WALSH,36,16.59
16,TRACYE L. WHITFIELD .,18,8.29
17,LaMAR COOK .,15,6.91
18,SEAN CURRAN.,21,9.68
19,KENCY GILET.,8,3.69
20,JOHNNIE RAY MCKNIGHT.,12,5.53
21,KELLI P. MORIARTY-FINN,15,6.91
22,CHRISTOPHER J. POHNER,33,15.21
23,ISRAEL RIVERA,16,7.37
24,WRITE-IN.,2,.92
25,Blanks,98,
