,,0301 3A,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1511,
1,,BALLOTS CAST - TOTAL,180,
2,,VOTER TURNOUT - TOTAL,,11.91
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,104,59.09
6,,JOSE F. TOSADO.,72,40.91
7,,WRITE-IN.,0,
8,,Blanks,4,
9,,CITY COUNCIL AT LARGE,,
10,,VOTE FOR 5,,
11,,THOMAS ASHE.,84,12.94
12,,JAMES J. FERRERA,79,12.17
13,,TIMOTHY J. ROOKE,56,8.63
14,,KATERI B. WALSH .,81,12.48
15,,JOSEPH R. FOUNTAIN,31,4.78
16,,JUSTIN J. HURST,61,9.40
17,,AMAAD RIVERA,70,10.79
18,,CHARLES H. RUCKS,57,8.78
19,,MIGUEL A. SOTO.,56,8.63
20,,BUD L. WILLIAMS,72,11.09
21,,WRITE-IN,2,.31
22,,Blanks,251,
23,,CITY COUNCIL WARD 3,,
24,,VOTE FOR 1,,
25,,MELVIN A. EDWARDS.,121,98.37
26,,WRITE-IN.,2,1.63
27,,Blanks,57,
