,0803 8C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1563,
1,BALLOTS CAST - TOTAL.,201,
2,VOTER TURNOUT - TOTAL,,12.86
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,122,61.31
6,ANTONETTE E. PEPE.,31,15.58
7,JOSE F. TOSADO.,46,23.12
8,WRITE-IN.,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,84,12.75
13,JAMES J. FERRERA,50,7.59
14,TIMOTHY J. ROOKE,57,8.65
15,KATERI B. WALSH,72,10.93
16,BRUCE SAMUEL ADAMS JR,21,3.19
17,DAVID F. CIAMPI,7,1.06
18,JOSEPH R. FOUNTAIN,36,5.46
19,JUSTIN J. HURST,87,13.20
20,AMAAD RIVERA,53,8.04
21,CHARLES H. RUCKS,41,6.22
22,MIGUEL A. SOTO.,45,6.83
23,JOHN W. STEVENS,17,2.58
24,BUD L. WILLIAMS,87,13.20
25,WRITE-IN.,2,.30
26,Blanks,346,
