,0301 3A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1642,
1,BALLOTS CAST - TOTAL.,105,
2,VOTER TURNOUT - TOTAL,,6.39
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,48,13.56
6,JAMES J. FERRERA,38,10.73
7,TIMOTHY ROOKE,41,11.58
8,KATERI B. WALSH . .,50,14.12
9,BUD L. WILLIAMS .,54,15.25
10,JOSHUA CARPENTER .,10,2.82
11,ERNESTO E. CRUZ,46,12.99
12,JEFFERY P. DONNELLY,14,3.95
13,JUSTIN J. HURST,51,14.41
14,WRITE-IN,2,.56
15,Blanks,171,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,71,76.34
19,SALVATORE S. CIRCOSTA,22,23.66
20,WRITE-IN.,0,
21,Blanks,12,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE M. HURST,69,45.39
25,ANTONETTE PEPE.,36,23.68
26,CALVIN J. McFADDEN,46,30.26
27,WRITE-IN.,1,.66
28,Blanks,58,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,NORMAN ROLDAN,29,34.12
32,ROSA PEREZ,56,65.88
33,WRITE-IN,0,
34,Blanks,20,
