,0805 8E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1225,
1,BALLOTS CAST - TOTAL.,112,
2,VOTER TURNOUT - TOTAL,,9.14
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,64,56.64
6,ANTONETTE E. PEPE.,24,21.24
7,JOSE F. TOSADO.,25,22.12
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,50,13.26
13,JAMES J. FERRERA,45,11.94
14,TIMOTHY J. ROOKE,39,10.34
15,KATERI B. WALSH,51,13.53
16,BRUCE SAMUEL ADAMS JR,15,3.98
17,DAVID F. CIAMPI,11,2.92
18,JOSEPH R. FOUNTAIN,20,5.31
19,JUSTIN J. HURST,19,5.04
20,AMAAD RIVERA,22,5.84
21,CHARLES H. RUCKS,14,3.71
22,MIGUEL A. SOTO.,37,9.81
23,JOHN W. STEVENS,18,4.77
24,BUD L. WILLIAMS,33,8.75
25,WRITE-IN.,3,.80
26,Blanks,188,
