,0703 7C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1680,
1,BALLOTS CAST - TOTAL,626,
2,VOTER TURNOUT - TOTAL,,37.26
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,515,82.53
6,JOSE F. TOSADO.,108,17.31
7,WRITE-IN.,1,.16
8,Blanks,2,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,385,16.86
12,JAMES J. FERRERA,349,15.29
13,TIMOTHY J. ROOKE,387,16.95
14,KATERI B. WALSH,312,13.67
15,JOSEPH R. FOUNTAIN,145,6.35
16,JUSTIN J. HURST,204,8.94
17,AMAAD RIVERA,90,3.94
18,CHARLES H. RUCKS,117,5.12
19,MIGUEL A. SOTO.,57,2.50
20,BUD L. WILLIAMS,235,10.29
21,WRITE-IN,2,.09
22,Blanks,847,
23,CITY COUNCIL WARD 7,,
24,VOTE FOR 1,,
25,TIMOTHY C. ALLEN,448,99.12
26,WRITE-IN.,4,.88
27,Blanks,174,
