,,REGISTERED VOTERS - TOTAL,VOTES 1649,PERCENT
0,,BALLOTS CAST - TOTAL.,370,
1,,VOTER TURNOUT - TOTAL,,22.44
2,,MAYOR,,
3,,VOTE FOR 1,,
4,,DOMENIC J. SARNO,291,81.06
5,,SALVATORE S. CIRCOSTA,64,17.83
6,,WRITE-IN.,4,1.11
7,,Blanks,11,
8,,COUNCILLOR AT LARGE,,
9,,VOTE FOR 5,,
10,,THOMAS ASHE.,202,15.30
11,,JUSTIN J. HURST,221,16.74
12,,TIMOTHY J. ROOKE,184,13.94
13,,KATERI B. WALSH,197,14.92
14,,BUD L. WILLIAMS,224,16.97
15,,LaMAR COOK,76,5.76
16,,JEFFERY P. DONNELLY,52,3.94
17,,JESSE L. LEDERMAN.,85,6.44
18,,"KENNETH S. POOLER, JR",37,2.80
19,,ALEXANDER J. SHERMAN.,37,2.80
20,,WRITE-IN.,5,.38
21,,Blanks,530,
22,,WARD FIVE COUNCILLOR,,
23,,VOTE FOR 1,,
24,,CLODO CONCEPCION,101,30.24
25,,MARCUS J. WILLIAMS,231,69.16
26,,WRITE-IN.,2,.60
27,,Blanks,36,
28,,QUESTION 1,,
29,,VOTE FOR 1,,
30,,YES (SI),236,70.87
31,,NO (NO),97,29.13
32,,Blanks,38,
33,,QUESTION 2,,
34,,VOTE FOR 1,,
35,,YES (SI),197,63.55
36,,NO (NO),113,36.45
37,,Blanks,60,
