,0604 6D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1502,
1,BALLOTS CAST - TOTAL.,483,
2,VOTER TURNOUT - TOTAL,,32.16
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,400,83.68
6,JOSE F. TOSADO.,77,16.11
7,WRITE-IN.,1,.21
8,Blanks,5,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,327,17.61
12,JAMES J. FERRERA,244,13.14
13,TIMOTHY J. ROOKE,274,14.75
14,KATERI B. WALSH .,288,15.51
15,JOSEPH R. FOUNTAIN .,122,6.57
16,JUSTIN J. HURST .,157,8.45
17,AMAAD RIVERA,119,6.41
18,CHARLES H. RUCKS,108,5.82
19,MIGUEL A. SOTO.,54,2.91
20,BUD L. WILLIAMS,156,8.40
21,WRITE-IN.,8,.43
22,Blanks,558,
23,CITY COUNCIL WARD 6,,
24,VOTE FOR 1,,
25,KENNETH E. SHEA,317,97.84
26,WRITE-IN.,7,2.16
27,Blanks,159,
