,0302 3B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1326,
1,BALLOTS CAST - TOTAL.,159,
2,VOTER TURNOUT - TOTAL,,11.99
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,94,59.49
6,JOSE F. TOSADO.,64,40.51
7,WRITE-IN,0,
8,Blanks,1,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,58,12.47
12,JAMES J. FERRERA,59,12.69
13,TIMOTHY J. ROOKE,35,7.53
14,KATERI B. WALSH,49,10.54
15,JOSEPH R. FOUNTAIN .,21,4.52
16,JUSTIN J. HURST .,34,7.31
17,AMAAD RIVERA,53,11.40
18,CHARLES H. RUCKS .,31,6.67
19,MIGUEL A. SOTO.,53,11.40
20,BUD L. WILLIAMS,67,14.41
21,WRITE-IN.,5,1.08
22,Blanks,330,
23,CITY COUNCIL WARD 3 VOTE FOR 1,,
24,MELVIN A. EDWARDS.,78,97.50
25,WRITE-IN.,2,2.50
26,Blanks,79,
