,REGISTERED VOTERS - TOTAL,1506,
0,BALLOTS CAST - TOTAL.,273,
1,VOTER TURNOUT - TOTAL,,18.13
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,206,76.30
5,SALVATORE S. CIRCOSTA,63,23.33
6,WRITE-IN.,1,.37
7,Blanks,3,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,191,18.76
11,JUSTIN J. HURST,125,12.28
12,TIMOTHY J. ROOKE,179,17.58
13,KATERI B. WALSH,154,15.13
14,BUD L. WILLIAMS,138,13.56
15,LaMAR COOK,44,4.32
16,JEFFERY P. DONNELLY,43,4.22
17,JESSE L. LEDERMAN.,69,6.78
18,"KENNETH S. POOLER, JR",40,3.93
19,ALEXANDER J. SHERMAN.,35,3.44
20,WRITE-IN.,0,
21,Blanks,347,
22,WARD TWO COUNCILLOR,,
23,VOTE FOR 1,,
24,MICHAEL A. FENTON.,206,98.56
25,WRITE-IN.,3,1.44
26,Blanks,64,
27,QUESTION 1 VOTE FOR 1,,
28,YES (SI),159,62.60
29,NO (NO),95,37.40
30,Blanks,19,
31,QUESTION 2,,
32,VOTE FOR 1,,
33,YES (SI).,126,54.31
34,NO (NO),106,45.69
35,Blanks,41,
