,0207 2G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1610,
1,BALLOTS CAST - TOTAL.,505,
2,VOTER TURNOUT - TOTAL,,31.37
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,370,74.45
6,JOSE F. TOSADO.,125,25.15
7,WRITE-IN,2,.40
8,Blanks,8,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,300,15.94
12,JAMES J. FERRERA,233,12.38
13,TIMOTHY J. ROOKE,278,14.77
14,KATERI B. WALSH .,232,12.33
15,JOSEPH R. FOUNTAIN .,229,12.17
16,JUSTIN J. HURST,130,6.91
17,AMAAD RIVERA,114,6.06
18,CHARLES H. RUCKS,89,4.73
19,MIGUEL A. SOTO.,94,4.99
20,BUD L. WILLIAMS,181,9.62
21,WRITE-IN,2,.11
22,Blanks,643,
23,CITY COUNCIL WARD 2,,
24,VOTE FOR 1,,
25,MICHAEL A. FENTON.,351,98.60
26,WRITE-IN.,5,1.40
27,Blanks,149,
