,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1578,
1,BALLOTS CAST - TOTAL.,318,
2,VOTER TURNOUT - TOTAL,,20.15
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,202,63.72
6,ANTONETTE E. PEPE.,57,17.98
7,JOSE F. TOSADO.,58,18.30
8,WRITE-IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,158,13.05
12,JAMES J. FERRERA,110,9.08
13,TIMOTHY J. ROOKE,137,11.31
14,KATERI B. WALSH,143,11.81
15,BRUCE SAMUEL ADAMS JR,39,3.22
16,DAVID F. CIAMPI,28,2.31
17,JOSEPH R. FOUNTAIN,41,3.39
18,JUSTIN J. HURST,166,13.71
19,AMAAD RIVERA,61,5.04
20,CHARLES H. RUCKS,99,8.18
21,MIGUEL A. SOTO.,44,3.63
22,JOHN W. STEVENS,36,2.97
23,BUD L. WILLIAMS,149,12.30
24,WRITE-IN.,0,
25,Blanks,379,
