,0201 2A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1350,
1,BALLOTS CAST - TOTAL.,159,
2,VOTER TURNOUT - TOTAL,,11.78
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,88,55.35
6,ANTONETTE E. PEPE.,32,20.13
7,JOSE F. TOSADO.,39,24.53
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,99,17.19
13,JAMES J. FERRERA,63,10.94
14,TIMOTHY J. ROOKE,85,14.76
15,KATERI B. WALSH,74,12.85
16,BRUCE SAMUEL ADAMS JR,16,2.78
17,DAVID F. CIAMPI,14,2.43
18,JOSEPH R. FOUNTAIN,39.,6.77
19,JUSTIN J. HURST,34,5.90
20,AMAAD RIVERA,27,4.69
21,CHARLES H. RUCKS,19,3.30
22,MIGUEL A. SOTO.,24,4.17
23,JOHN W. STEVENS,18,3.13
24,BUD L. WILLIAMS,61,10.59
25,WRITE-IN.,3,.52
26,Blanks,219,
