,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1551,
1,BALLOTS CAST - TOTAL.,369,
2,VOTER TURNOUT . TOTAL,,23.79
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,229,62.23
6,ANTONETTE E. PEPE.,83,22.55
7,JOSE F. TOSADO.,56,15.22
8,WRITE-IN,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,201,15.03
12,JAMES J. FERRERA,195,14.58
13,TIMOTHY J. ROOKE,211,15.78
14,KATERI B. WALSH,155,11.59
15,BRUCE SAMUEL ADAMS JR,55,4.11
16,DAVID F. CIAMPI,33,2.47
17,JOSEPH R. FOUNTAIN,57,4.26
18,JUSTIN J. HURST,83,6.21
19,AMAAD RIVERA,70,5.24
20,CHARLES H. RUCKS,50,3.74
21,MIGUEL A. SOTO.,37,2.77
22,JOHN W. STEVENS,47,3.52
23,BUD L. WILLIAMS,141,10.55
24,WRITE-IN,2,.15
25,Blanks,508,
