,0404 4D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1273,
1,BALLOTS CAST - TOTAL.,175,
2,VOTER TURNOUT - TOTAL,,13.75
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,117,69.23
6,JOSE F. TOSADO.,52,30.77
7,WRITE-IN.,0,
8,Blanks,6,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,45,8.43
12,JAMES J. FERRERA,44,8.24
13,TIMOTHY J. ROOKE,34,6.37
14,KATERI B. WALSH,56,10.49
15,JOSEPH R. FOUNTAIN,19,3.56
16,JUSTIN J. HURST,92,17.23
17,AMAAD RIVERA,39,7.30
18,CHARLES H. RUCKS,74,13.86
19,MIGUEL A. SOTO.,32,5.99
20,BUD L. WILLIAMS,99,18.54
21,WRITE-IN.,0,
22,Blanks,341,
23,CITY COUNCIL WARD 4 VOTE FOR 1,,
24,E. HENRY TWIGGS,112,99.12
25,WRITE-IN.,1,.88
26,Blanks,62,
