,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1571,
1,,BALLOTS CAST - TOTAL.,49,
2,,VOTER TURNOUT - TOTAL,,3.12
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS ASHE.,12,6.67
6,,JUSTIN J. HURST,31,17.22
7,,KATERI B. WALSH,18,10.00
8,,ERNESTO E. CRUZ . .,12,6.67
9,,VICTOR G. DAVILA .,14,7.78
10,,MARILYN FELIX,6,3.33
11,,JESSE LEDERMAN.,14,7.78
12,,JYNAI S. McDONALD.,9,5.00
13,,KELVIN MOLINA,9,5.00
14,,KELLI P. MORIARTY-FINN,7,3.89
15,,TIMOTHY RYAN,15,8.33
16,,WILLIE J. THOMAS,7,3.89
17,,TRACYE L. WHITFIELD,26,14.44
18,,WRITE-IN.,0,
19,,Blanks,65,26.53
20,,CITY COUNCIL WARD 3,,
21,,VOTE FOR 1,,
22,,MELVIN A. EDWARDS.,18,43.90
23,,KEVIN DUMPSON,15,36.59
24,,MATTHIAS GALVIN,8,19.51
25,,WRITE-IN.,0,
26,,Blanks,8,16.33
27,,SCHOOL COMMITTEE AT LARGE,,
28,,VOTE FOR 2,,
29,,DENISE MARIE HURST,22,27.16
30,,JAMES M. ANZIANO,6,7.41
31,,LaMAR COOK,7,8.64
32,,JAMES J. FERRERA III.,8,9.88
33,,JOESIAH GONZALEZ,7,8.64
34,,RYAN HESS,0,
35,,MICHAEL D. KOCSMIERSKY,4,4.94
36,,LaTONIA MONROE NAYLOR,27,33.33
37,,WRITE-IN.,0,
38,,Blanks,17,17.35
