,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1409,
1,BALLOTS CAST - TOTAL.,52,
2,VOTER TURNOUT - TOTAL,,3.69
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,34,68.00
6,YOLANDA CANCEL.,11,22.00
7,JEFFERY P. DONNELLY,2,4.00
8,LINDA MATYS O'CONNELL,3,6.00
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,27,15.52
14,JESSE LEDERMAN.,33,18.97
15,KATERI B. WALSH,27,15.52
16,TRACYE L. WHITFIELD .,22,12.64
17,LaMAR COOK .,10,5.75
18,SEAN CURRAN.,5,2.87
19,KENCY GILET.,5,2.87
20,JOHNNIE RAY MCKNIGHT.,9,5.17
21,KELLI P. MORIARTY-FINN,14,8.05
22,CHRISTOPHER J. POHNER,13,7.47
23,ISRAEL RIVERA,9,5.17
24,WRITE-IN.,0,
25,Blanks,86,
