,0605 6E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1382,
1,BALLOTS CAST - TOTAL.,220,
2,VOTER TURNOUT - TOTAL,,15.92
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,140,64.81
6,JOSE F. TOSADO.,76,35.19
7,WRITE-IN.,0,
8,Blanks,4,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,101,13.13
11,JAMES J. FERRERA,101,13.13
12,TIMOTHY J. ROOKE,88,11.44
13,KATERI B. WALSH . .,93,12.09
14,JOSEPH R. FOUNTAIN . .,46,5.98
15,JUSTIN J. HURST,61,7.93
16,AMAAD RIVERA,108,14.04
17,CHARLES H. RUCKS,48,6.24
18,MIGUEL A. SOTO.,49,6.37
19,BUD L. WILLIAMS,72,9.36
20,WRITE-IN.,2,.26
21,Blanks,331,
22,CITY COUNCIL WARD 6,,
23,VOTE FOR 1,,
24,KENNETH E. SHEA,133,95.68
25,WRITE-IN.,6,4.32
26,Blanks,81,
