,0501 5A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1323,
1,BALLOTS CAST - TOTAL.,172,
2,VOTER TURNOUT - TOTAL,,13.00
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,120,70.18
6,ANTONETTE E. PEPE.,6,3.51
7,JOSE F. TOSADO.,44,25.73
8,WRITE-IN.,1,.58
9,Blanks,1,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,64,10.96
12,JAMES J. FERRERA,37,6.34
13,TIMOTHY J. ROOKE,45,7.71
14,KATERI B. WALSH,62,10.62
15,BRUCE SAMUEL ADAMS JR,9,1.54
16,DAVID F. CIAMPI,7,1.20
17,JOSEPH R. FOUNTAIN,11,1.88
18,JUSTIN J. HURST,97,16.61
19,AMAAD RIVERA,39,6.68
20,CHARLES H. RUCKS,67,11.47
21,MIGUEL A. SOTO.,30,5.14
22,JOHN W. STEVENS,8,1.37
23,BUD L. WILLIAMS,108,18.49
24,WRITE-IN,0,
25,Blanks,276,
