,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1484,
1,BALLOTS CAST - TOTAL.,96,
2,VOTER TURNOUT - TOTAL,,6.47
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,68,73.12
6,YOLANDA CANCEL.,20,21.51
7,JEFFERY P. DONNELLY,1,1.08
8,LINDA MATYS O'CONNELL,3,3.23
9,WRITE-IN.,1,1.08
10,Blanks,3,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,60,19.23
14,JESSE LEDERMAN.,33,10.58
15,KATERI B. WALSH,39,12.50
16,TRACYE L. WHITFIELD,63,20.19
17,LaMAR COOK,31,9.94
18,SEAN CURRAN.,15,4.81
19,KENCY GILET.,5,1.60
20,JOHNNIE RAY MCKNIGHT.,19,6.09
21,KELLI P. MORIARTY-FINN,10,3.21
22,CHRISTOPHER J. POHNER,15,4.81
23,ISRAEL RIVERA,22,7.05
24,WRITE-IN.,0,
25,Blanks,168,
26,CITY COUNCIL WARD 4,,
27,VOTE FOR 1,,
28,MALO L. BROWN,53,55.21
29,LORENZO D. GAINES.,15,15.63
30,LARRY LAWSON,3,3.13
31,JYNAI S. MCDONALD.,22,22.92
32,"GEORGE A. SAVAGE, JR.",3,3.13
33,WRITE-IN.,0,
34,Blanks,0,
