,0503 5C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1443,
1,BALLOTS CAST - TOTAL.,344,
2,VOTER TURNOUT - TOTAL,,23.84
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,237,69.71
6,JOSE F. TOSADO.,103,30.29
7,WRITE-IN,0,
8,Blanks,4,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,178,14.66
12,JAMES J. FERRERA,140,11.53
13,TIMOTHY J. ROOKE,167,13.76
14,KATERI B. WALSH .,142,11.70
15,JOSEPH R. FOUNTAIN .,66,5.44
16,JUSTIN J. HURST,144,11.86
17,AMAAD RIVERA,65,5.35
18,CHARLES H. RUCKS,94,7.74
19,MIGUEL A. SOTO.,58,4.78
20,BUD L. WILLIAMS,158,13.01
21,WRITE-IN,2,.16
22,Blanks,506,
23,CITY COUNCIL WARD 5,,
24,VOTE FOR 1,,
25,CLODO CONCEPCION,191,98.45
26,WRITE-IN.,3,1.55
27,Blanks,150,
