,,REGISTERED VOTERS - TOTAL,1677,
0,,BALLOTS CAST - TOTAL.,308,
1,,VOTER TURNOUT - TOTAL,,18.37
2,,MAYOR,,
3,,VOTE FOR 1,,
4,,DOMENIC J. SARNO,173,58.25
5,,SALVATORE S. CIRCOSTA,122,41.08
6,,WRITE-IN.,2,.67
7,,Blanks,11,
8,,COUNCILLOR AT LARGE VOTE FOR 5,,
9,,THOMAS ASHE.,121,13.58
10,,JUSTIN J. HURST,134,15.04
11,,TIMOTHY J. ROOKE,94,10.55
12,,KATERI B. WALSH,116,13.02
13,,BUD L. WILLIAMS,159,17.85
14,,LaMAR COOK,54,6.06
15,,JEFFERY P. DONNELLY,33,3.70
16,,JESSE L. LEDERMAN.,93,10.44
17,,"KENNETH S. POOLER, JR",38,4.26
18,,ALEXANDER J. SHERMAN.,42,4.71
19,,WRITE-IN.,7,.79
20,,Blanks,649,
21,,WARD ONE COUNCILLOR,,
22,,VOTE FOR 1,,
23,,ZAIDA LUNA,121,40.60
24,,ADAM GOMEZ,175,58.72
25,,WRITE-IN.,2,.67
26,,Blanks,10,
27,,QUESTION 1,,
28,,VOTE FOR 1,,
29,,YES (SI),190,74.51
30,,NO (NO),65,25.49
31,,Blanks,53,
32,,QUESTION 2,,
33,,VOTE FOR 1,,
34,,YES (SI),184,75.72
35,,NO (NO),59,24.28
36,,Blanks,65,
