,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1318,
1,BALLOTS CAST - TOTAL.,114,
2,VOTER TURNOUT - TOTAL,,8.65
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,18,16.22
6,ANTONETTE E. PEPE.,4,3.60
7,JOSE F. TOSADO.,88,79.28
8,WRITE-IN. -,1,.90
9,Blanks,3,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,32,9.82
13,JAMES J. FERRERA,32,9.82
14,TIMOTHY J. ROOKE,26,7.98
15,KATERI B. WALSH,19,5.83
16,BRUCE SAMUEL ADAMS JR,14,4.29
17,DAVID F. CIAMPI,9,2.76
18,JOSEPH R. FOUNTAIN,7,2.15
19,JUSTIN J. HURST .,14,4.29
20,AMAAD RIVERA,70,21.47
21,CHARLES H. RUCKS,1,.31
22,MIGUEL A. SOTO.,64,19.63
23,JOHN W. STEVENS,2,.61
24,BUD L. WILLIAMS,35,10.74
25,WRITE-IN.,1,.31
26,Blanks,244,
