,0705 7E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1501,
1,BALLOTS CAST . TOTAL,160,
2,VOTER TURNOUT - TOTAL,,10.66
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,81,54.00
6,ANTONETTE E. PEPE.,35,23.33
7,JOSE F. TOSADO.,34,22.67
8,WRITE-IN.,0,
9,Blanks,12,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,72,13.36
13,JAMES J. FERRERA,56,10.39
14,TIMOTHY J. ROOKE,66,12.24
15,KATERI B. WALSH,68,12.62
16,BRUCE SAMUEL ADAMS JR,23,4.27
17,DAVID F. CIAMPI,19,3.53
18,JOSEPH R. FOUNTAIN,28,5.19
19,JUSTIN J. HURST,58,10.76
20,AMAAD RIVERA,28,5.19
21,CHARLES H. RUCKS,25,4.64
22,MIGUEL A. SOTO.,18,3.34
23,JOHN W. STEVENS,20,3.71
24,BUD L. WILLIAMS,56,10.39
25,WRITE-IN.,2,.37
26,Blanks,271,
