,0707 7G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1661,
1,BALLOTS CAST - TOTAL.,581,
2,VOTER TURNOUT - TOTAL,,34.98
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,471,81.63
6,JOSE F. TOSADO.,105,18.20
7,WRITE-IN.,1,.17
8,Blanks,4,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,386,17.27
12,JAMES J. FERRERA,293,13.11
13,TIMOTHY J. ROOKE,343,15.35
14,KATERI B. WALSH .,309,13.83
15,JOSEPH R. FOUNTAIN,172,7.70
16,JUSTIN J. HURST,256,11.45
17,AMAAD RIVERA,85,3.80
18,CHARLES H. RUCKS,131,5.86
19,MIGUEL A. SOTO.,63,2.82
20,BUD L. WILLIAMS,191,8.55
21,WRITE-IN,6,.27
22,Blanks,670,
23,CITY COUNCIL WARD 7,,
24,VOTE FOR 1,,
25,TIMOTHY C. ALLEN,426,99.30
26,WRITE-IN.,3,.70
27,Blanks,152,
