,0506 5F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1590,
1,BALLOTS CAST - TOTAL,448,
2,VOTER TURNOUT - TOTAL,,28.18
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,361,81.12
6,JOSE F. TOSADO.,82,18.43
7,WRITE-IN,2,.45
8,Blanks,3,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,247,13.91
11,JAMES J. FERRERA,201,11.32
12,TIMOTHY J. ROOKE,216,12.16
13,KATERI B. WALSH .,204,11.49
14,JOSEPH R. FOUNTAIN,97,5.46
15,JUSTIN J. HURST,232,13.06
16,AMAAD RIVERA,87,4.90
17,CHARLES H. RUCKS,168,9.46
18,MIGUEL A. SOTO.,83,4.67
19,BUD L. WILLIAMS,241,13.57
20,WRITE-IN.,0,
21,Blanks,464,
22,CITY COUNCIL WARD 5,,
23,VOTE FOR 1,,
24,CLODO CONCEPCION,237,97.53
25,WRITE-IN.,6,2.47
26,Blanks,205,
