,,0602 6B,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1528 319,
1,,BALLOTS CAST - TOTAL.,,20.88
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,187,59.37
5,,DOMENIC J. SARNO,62,19.68
6,,ANTONETTE E. PEPE.,66,20.95
7,,JOSE F. TOSADO.,0,
8,,WRITE-IN.,4,
9,,Blanks,,
10,,CITY COUNCIL AT LARGE,,
11,,VOTE FOR 5,139,13.21
12,,THOMAS ASHE.,113,10.74
13,,JAMES J. FERRERA,123,11.69
14,,TIMOTHY J. ROOKE,141,13.40
15,,KATERI B. WALSH,29,2.76
16,,BRUCE SAMUEL ADAMS JR,78,7.41
17,,DAVID F. CIAMPI,40,3.80
18,,JOSEPH R. FOUNTAIN,94,8.94
19,,JUSTIN J. HURST,92,8.75
20,,AMAAD RIVERA,51,4.85
21,,CHARLES H. RUCKS,30,2.85
22,,MIGUEL A. SOTO.,39,3.71
23,,JOHN W. STEVENS,75,7.13
24,,BUD L. WILLIAMS,8,.76
25,,WRITE-IN.,543,
26,,Blanks,,
