,0702 7B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1763 565,
1,BALLOTS CAST - TOTAL. TURNOUT TOTAL,,32.05
2,VOTER - MAYOR,,
3,VOTE FOR 1,412,73.05
4,DOMENIC J. SARNO,100,17.73
5,ANTONETTE E. PEPE.,52,9.22
6,JOSE F. TOSADO.,0,
7,WRITE-IN,1,
8,Blanks,,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,353,17.08
11,THOMAS ASHE.,292,14.13
12,JAMES J. FERRERA,344,16.64
13,TIMOTHY J. ROOKE,271,13.11
14,KATERI B. WALSH,147,7.11
15,BRUCE SAMUEL ADAMS JR,62,3.00
16,DAVID F. CIAMPI,79,3.82
17,JOSEPH R. FOUNTAIN,138,6.68
18,JUSTIN J. HURST,70,3.39
19,AMAAD RIVERA,55,2.66
20,CHARLES H. RUCKS,30,1.45
21,MIGUEL A. SOTO.,44,2.13
22,JOHN W. STEVENS,179,8.66
23,BUD L. WILLIAMS,3,.15
24,WRITE-IN.,758,
