,REGISTERED VOTERS - TOTAL,1680,
0,BALLOTS CAST - TOTAL.,153,
1,VOTER TURNOUT - TOTAL,,9.11
2,CITY COUNCIL AT LARGE VOTE FOR 5,,
3,THOMAS ASHE.,69,12.57
4,JUSTIN J. HURST,84,15.30
5,KATERI B. WALSH . .,62,11.29
6,ERNESTO E. CRUZ .,49,8.93
7,VICTOR G. DAVILA .,33,6.01
8,JESSE LEDERMAN. . .,53,9.65
9,JYNAI S. McDONALD.,36,6.56
10,KELLI P. MORIARTY-FINN,36,6.56
11,TIMOTHY RYAN,46,8.38
12,TRACYE L. WHITFIELD,78,14.21
13,WRITE-IN,3,.55
14,Blanks,216,
15,CITY COUNCIL WARD 8,,
16,VOTE FOR 1,,
17,ORLANDO RAMOS,104,95.41
18,WRITE-IN.,5,4.59
19,Blanks,42,
20,SCHOOL COMMITTEE AT LARGE,,
21,VOTE FOR 2,,
22,DENISE MARIE HURST,104,43.15
23,JAMES J. FERRERA III.,44,18.26
24,RYAN HESS,22,9.13
25,LaTONIA MONROE NAYLOR,70,29.05
26,WRITE-IN.,1,.41
27,Blanks,65,
28,SCHOOL COMMITTEE DISTRICT 4,,
29,VOTE FOR 1,,
30,PETER MURPHY,42,34.43
31,ZAIDA GOVAN.,79,64.75
32,WRITE-IN.,1,.82
33,Blanks,31,
