,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1595,
1,BALLOTS CAST - TOTAL,213,
2,VOTER TURNOUT - TOTAL,,13.35
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,91,12.38
6,JAMES J. FERRERA,77,10.48
7,TIMOTHY ROOKE,98,13.33
8,KATERI B. WALSH . . .,79,10.75
9,BUD L. WILLIAMS .,116,15.78
10,JOSHUA CARPENTER,30,4.08
11,ERNESTO E. CRUZ,69,9.39
12,JEFFERY P. DONNELLY,57,7.76
13,JUSTIN J. HURST,117,15.92
14,WRITE-IN.,1,.14
15,Blanks,330,
16,CITY COUNCIL WARD 8 VOTE FOR 1,,
17,JOHN A. LYSAK,63,30.43
18,ORLANDO RAMOS,143,69.08
19,WRITE-IN.,1,.48
20,Blanks,6,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE M. HURST,125,38.94
23,ANTONETTE PEPE.,87,27.10
24,CALVIN J. McFADDEN,109,33.96
25,WRITE-IN.,0,
26,Blanks,105,
27,SCHOOL COMMITTEE DISTRICT 4,,
28,VOTE FOR 1,,
29,PETER M. MURPHY,93,52.25
30,ZAIDA GOVAN.,85,47.75
31,WRITE-IN.,0,
32,Blanks,35,
