,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1859,
1,BALLOTS CAST . TOTAL.,109,
2,VOTER TURNOUT - TOTAL,,5.86
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,58,53.21
6,ANTONETTE E. PEPE.,12,11.01
7,JOSE F. TOSADO.,39,35.78
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,61,13.90
13,JAMES J. FERRERA,42,9.57
14,TIMOTHY J. ROOKE,50,11.39
15,KATERI B. WALSH,44,10.02
16,BRUCE SAMUEL ADAMS JR,21,4.78
17,DAVID F. CIAMPI,20,4.56
18,JOSEPH R. FOUNTAIN,19,4.33
19,JUSTIN J. HURST,29,6.61
20,AMAAD RIVERA,47 4,10.71
21,CHARLES H. RUCKS,23,5.24
22,MIGUEL A. SOTO.,23,5.24
23,JOHN W. STEVENS,16,3.64
24,BUD L. WILLIAMS,43,9.79
25,WRITE-IN.,1,.23
26,Blanks,106,
