,,0801 8A,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1580,
1,,BALLOTS CAST - TOTAL,247,
2,,VOTER TURNOUT - TOTAL,,15.63
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS M. ASHE.,133,15.38
6,,JAMES J. FERRERA,97,11.21
7,,TIMOTHY ROOKE,102,11.79
8,,KATERI B. WALSH .,110,12.72
9,,BUD L. WILLIAMS .,102,11.79
10,,JOSHUA CARPENTER,49,5.66
11,,ERNESTO E. CRUZ,97,11.21
12,,JEFFERY P: DONNELLY,61,7.05
13,,JUSTIN J. HURST,112,12.95
14,,WRITE-IN,2,.23
15,,Blanks,369,
16,,CITY COUNCIL WARD 8,,
17,,VOTE FOR 1,,
18,,JOHN A. LYSAK,95,39.26
19,,ORLANDO RAMOS,147,60.74
20,,WRITE-IN.,0,
21,,Blanks,5,
22,,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,,DENISE M. HURST,127,35.67
24,,ANTONETTE PEPE.,122,34.27
25,,CALVIN J. McFADDEN,106,29.78
26,,WRITE-IN.,1,.28
27,,Blanks,138,
28,,SCHOOL COMMITTEE DISTRICT 4,,
29,,VOTE FOR 1,,
30,,PETER M. MURPHY,122,54.71
31,,ZAIDA GOVAN.,100,44.84
32,,WRITE-IN,1,.45
33,,Blanks,24,
