,0305 3E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1479,
1,BALLOTS CAST - TOTAL.,79,
2,VOTER TURNOUT - TOTAL,,5.34
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,37,14.62
6,JAMES J. FERRERA,21,8.30
7,TIMOTHY ROOKE .,25,9.88
8,KATERI B. WALSH .,29,11.46
9,BUD L. WILLIAMS .,44,17.39
10,JOSHUA CARPENTER .,9,3.56
11,ERNESTO E. CRUZ,28,11.07
12,JEFFERY P. DONNELLY,15,5.93
13,JUSTIN J. HURST,44,17.39
14,WRITE-IN,1,.40
15,Blanks,142,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,53,74.65
19,SALVATORE S. CIRCOSTA,18,25.35
20,WRITE-IN.,0,
21,Blanks,8,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE M. HURST,44,37.29
25,ANTONETTE PEPE.,26,22.03
26,CALVIN J. McFADDEN,47,39.83
27,WRITE-IN.,1,.85
28,Blanks,38,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,NORMAN ROLDAN,20,31.75
32,ROSA PEREZ,41,65.08
33,WRITE-IN.,2,3.17
34,Blanks,16,
