,0101 1A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1816 299,
1,BALLOTS CAST - TOTAL. TURNOUT - TOTAL,,16.46
2,VOTER MAYOR,,
3,VOTE FOR 1,74,24.92
4,DOMENIC J. SARNO,4,1.35
5,ANTONETTE E. PEPE.,218,73.40
6,JOSE F. TOSADO.,1,.34
7,WRITE-IN.,2,
8,Blanks,,
9,CITY COUNCIL AT LARGE.,,
10,VOTE FOR 5,55,8.40
11,THOMAS ASHE.,67,10.23
12,JAMES J. FERRERA,33,5.04
13,TIMOTHY J. ROOKE,39,5.95
14,KATERI B. WALSH,23,3.51
15,BRUCE SAMUEL ADAMS JR,18,2.75
16,DAVID F. CIAMPI,29,4.43
17,JOSEPH R. FOUNTAIN,39,5.95
18,JUSTIN J. HURST,131,20.00
19,AMAAD RIVERA,16,2.44
20,CHARLES H. RUCKS,133,20.31
21,MIGUEL A. SOTO.,14,2.14
22,JOHN W. STEVENS,57,8.70
23,BUD L. WILLIAMS,1,.15
24,WRITE-IN.,839,
25,Blanks,,
