,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1667,
1,BALLOTS CAST - TOTAL.,174,
2,VOTER TURNOUT - TOTAL,,10.44
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,64,10.83
5,JUSTIN J. HURST,111,18.78
6,KATERI B. WALSH . .,70,11.84
7,ERNESTO E. CRUZ . .,42,7.11
8,VICTOR G. DAVILA,34,5.75
9,JESSE LEDERMAN. . .,53,8.97
10,JYNAI S. McDONALD.,38,6.43
11,KELLI P. MORIARTY-FINN,29,4.91
12,TIMOTHY RYAN,53,8.97
13,TRACYE L. WHITFIELD,97,16.41
14,WRITE-IN.,0,
15,Blanks,279,
16,CITY COUNCIL WARD 8 VOTE FOR 1,,
17,ORLANDO RAMOS,129,100.00
18,WRITE-IN.,0,
19,Blanks,45,
20,SCHOOL COMMITTEE AT LARGE,,
21,VOTE FOR 2,,
22,DENISE MARIE HURST,120,45.45
23,JAMES J. FERRERA III.,49,18.56
24,RYAN HESS,8,3.03
25,LaTONIA MONROE NAYLOR,87,32.95
26,WRITE-IN.,0,
27,Blanks,84,
28,SCHOOL COMMITTEE DISTRICT 4,,
29,VOTE FOR 1,,
30,PETER MURPHY,50,37.59
31,ZAIDA GOVAN.,83,62.41
32,WRITE-IN.,0,
33,Blanks,41,
