,REGISTERED VOTERS - TOTAL,VOTES 1582,PERCENT
0,BALLOTS CAST - TOTAL.,166,
1,VOTER TURNOUT - TOTAL,,10.49
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,103,65.19
5,SALVATORE S. CIRCOSTA,55,34.81
6,WRITE-IN.,0,
7,Blanks,8,
8,COUNCILLOR AT LARGE VOTE FOR 5,,
9,THOMAS ASHE.,64,14.85
10,JUSTIN J. HURST,48,11.14
11,TIMOTHY J. ROOKE,55,12.76
12,KATERI B. WALSH,54,12.53
13,BUD L. WILLIAMS,71,16.47
14,LaMAR COOK,22,5.10
15,JEFFERY P. DONNELLY,30,6.96
16,JESSE L. LEDERMAN.,45,10.44
17,"KENNETH S. POOLER, JR",16,3.71
18,ALEXANDER J. SHERMAN.,25,5.80
19,WRITE-IN.,1,.23
20,Blanks,399,
21,WARD ONE COUNCILLOR,,
22,VOTE FOR 1,,
23,ZAIDA LUNA,110,71.90
24,ADAM GOMEZ,43,28.10
25,WRITE-IN.,0,
26,Blanks,13,
27,QUESTION 1,,
28,VOTE FOR 1,,
29,YES (SI),111,80.43
30,NO (NO),27,19.57
31,Blanks,28,
32,QUESTION 2,,
33,VOTE FOR 1,,
34,YES (SI),108,83.72
35,NO (NO),21,16.28
36,Blanks,37,
