,0805 8E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1385,
1,BALLOTS CAST - TOTAL.,146,
2,VOTER TURNOUT . TOTAL,,10.54
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,58,13.24
6,JAMES J. FERRERA,52,11.87
7,TIMOTHY ROOKE,55,12.56
8,KATERI B. WALSH . .,67,15.30
9,BUD L. WILLIAMS .,58,13.24
10,JOSHUA CARPENTER,21,4.79
11,ERNESTO E. CRUZ,39,8.90
12,JEFFERY P. DONNELLY,30,6.85
13,JUSTIN J. HURST,58,13.24
14,WRITE-IN.,0,
15,Blanks,292,
16,CITY COUNCIL WARD 8 VOTE FOR 1,,
17,JOHN A. LYSAK,56,39.16
18,ORLANDO RAMOS,86,60.14
19,WRITE-IN.,1,.70
20,Blanks,3,
21,SCHOOL COMMITTEE AT LARGE,,
22,VOTE FOR 2,,
23,DENISE M. HURST,58,31.52
24,ANTONETTE PEPE.,71,38.59
25,CALVIN J. McFADDEN,55,29.89
26,WRITE-IN.,0,
27,Blanks,108,
28,SCHOOL COMMITTEE DISTRICT 4,,
29,VOTE FOR 1,,
30,PETER M. MURPHY,67,59.82
31,ZAIDA GOVAN.,45,40.18
32,WRITE-IN.,0,
33,Blanks,34,
