,0401 4A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1520,
1,BALLOTS CAST - TOTAL.,290,
2,VOTER TURNOUT - TOTAL,,19.08
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,181,63.73
6,JOSE F. TOSADO.,103,36.27
7,WRITE-IN,0,
8,Blanks,6,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,119,11.53
12,JAMES J. FERRERA,104,10.08
13,TIMOTHY J. ROOKE,88,8.53
14,KATERI B. WALSH,89,8.62
15,JOSEPH R. FOUNTAIN,50,4.84
16,JUSTIN J. HURST,140,13.57
17,AMAAD RIVERA,106,10.27
18,CHARLES H. RUCKS,120,11.63
19,MIGUEL A. SOTO.,65,6.30
20,BUD L. WILLIAMS,149,14.44
21,WRITE-Il,2,.19
22,Blanks,418,
23,CITY COUNCIL WARD 4 VOTE FOR 1,,
24,E. HENRY TWIGGS,189,99.47
25,WRITE-IN.,1,.53
26,Blanks,100,
