,,0508 5H,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1574 418,
1,,BALLOTS CAST - TOTAL.,,26.56
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,270,64.59
5,,DOMENIC J. SARNO,102,24.40
6,,ANTONETTE E. PEPE.,45,10.77
7,,JOSE F. TOSADO.,1,.24
8,,WRITE-IN.,1,
9,,Blanks,,
10,,CITY COUNCIL AT LARGE,,
11,,VOTE FOR 5,231,15.76
12,,THOMAS ASHE.,144,9.82
13,,JAMES J. FERRERA,231,15.76
14,,TIMOTHY J. ROOKE,179,12.21
15,,KATERI B. WALSH,85,5.80
16,,BRUCE SAMUEL ADAMS JR,58,3.96
17,,DAVID F. CIAMPI,71,4.84
18,,JOSEPH R. FOUNTAIN,125,8.53
19,,JUSTIN J. HURST,46,3.14
20,,AMAAD RIVERA,67,4.57
21,,CHARLES H. RUCKS,35,2.39
22,,MIGUEL A. SOTO.,49,3.34
23,,JOHN W. STEVENS,144,9.82
24,,BUD L. WILLIAMS,1,.07
25,,WRITE-IN.,629,
26,,Blanks,,
