,0202 2B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1554,
1,BALLOTS CAST - TOTAL.,487,
2,VOTER TURNOUT - TOTAL,,31.34
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,322,70.93
6,JOSE F. TOSADO.,130,28.63
7,WRITE-IN,2,.44
8,Blanks,33,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,252,15.64
12,JAMES J. FERRERA,182,11.30
13,TIMOTHY J. ROOKE,252,15.64
14,KATERI B. WALSH,169,10.49
15,JOSEPH R. FOUNTAIN,144,8.94
16,JUSTIN J. HURST,133,8.26
17,AMAAD RIVERA,129,8.01
18,CHARLES H. RUCKS,75,4.66
19,MIGUEL A. SOTO.,99,6.15
20,BUD L. WILLIAMS,170,10.55
21,WRITE-IN,6,.37
22,Blanks,824,
23,CITY COUNCIL WARD 2,,
24,VOTE FOR 1,,
25,MICHAEL A. FENTON.,311,98.11
26,WRITE-IN.,6,1.89
27,Blanks,170,
