,0407 4G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1581,
1,BALLOTS CAST - TOTAL.,322,
2,VOTER TURNOUT - TOTAL,,20.37
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,240,75.71
6,JOSE F. TOSADO.,77,24.29
7,WRITE-IN,0,
8,Blanks,5,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,142,11.57
12,JAMES J. FERRERA,100,8.15
13,TIMOTHY J. ROOKE,92,7.50
14,KATERI B. WALSH,123,10.02
15,JOSEPH R. FOUNTAIN .,53,4.32
16,JUSTIN J. HURST .,189,15.40
17,AMAAD RIVERA .,92,7.50
18,CHARLES H. RUCKS,149,12.14
19,MIGUEL A. SOTO.,68,5.54
20,BUD L. WILLIAMS,217,17.69
21,WRITE-IN.,2,.16
22,Blanks,383,
23,CITY COUNCIL WARD 4,,
24,VOTE FOR 1,,
25,E. HENRY TWIGGS,211,98.60
26,WRITE-IN.,3,1.40
27,Blanks,108,
