,0706 7F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1557,
1,BALLOTS CAST - TOTAL.,557,
2,VOTER TURNOUT - TOTAL,,35.77
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,454,82.10
6,JOSE F. TOSADO.,97,17.54
7,WRITE-IN,2,.36
8,Blanks,4,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,351,16.64
11,JAMES J. FERRERA,269,12.75
12,TIMOTHY J. ROOKE,338,16.03
13,KATERI B. WALSH .,281,13.32
14,JOSEPH R. FOUNTAIN .,144,6.83
15,JUSTIN J. HURST,225,10.67
16,AMAAD RIVERA .,68,3.22
17,CHARLES H. RUCKS,148,7.02
18,MIGUEL A. SOTO.,52,2.47
19,BUD L. WILLIAMS,220,10.43
20,WRITE-IN,13,.62
21,Blanks,676,
22,CITY COUNCIL WARD 7,,
23,VOTE FOR 1,,
24,TIMOTHY C. ALLEN,378,99.74
25,WRITE-IN.,1,.26
26,Blanks,178,
