,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1371,
1,BALLOTS CAST - TOTAL.,101,
2,VOTER TURNOUT - TOTAL,,7.37
3,,,
4,MAYOR,,
5,VOTE FOR 1,,
6,DOMENIC J. SARNO,57,57.00
7,ANTONETTE E. PEPE.,6,6.00
8,JOSE F. TOSADO.,37,37.00
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,THOMAS ASHE.,30,9.15
14,JAMES J. FERRERA,22,6.71
15,TIMOTHY J. ROOKE,20,6.10
16,KATERI B. WALSH,39,11.89
17,BRUCE SAMUEL ADAMS JR,5,1.52
18,DAVID F. CIAMPI,2,.61
19,JOSEPH R. FOUNTAIN,5,1.52
20,JUSTIN J. HURST,61,18.60
21,AMAAD RIVERA,32,9.76
22,CHARLES H. RUCKS,28,8.54
23,MIGUEL A. SOTO.,30,9.15
24,JOHN W. STEVENS,5,1.52
25,BUD L. WILLIAMS,48,14.63
26,WRITE-IN.,1,.30
27,Blanks,177,
