,0104 1D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1755,
1,BALLOTS CAST - TOTAL.,286,
2,VOTER TURNOUT - TOTAL,,16.30
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,120,42.25
6,ANTONETTE E. PEPE.,22,7.75
7,JOSE F. TOSADO.,142,50.00
8,WRITE-IN,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,111,14.07
13,JAMES J. FERRERA,83,10.52
14,TIMOTHY J. ROOKE,59,7.48
15,KATERI B. WALSH,74,9.38
16,BRUCE SAMUEL ADAMS JR,26,3.30
17,DAVID F. CIAMPI,23,2.92
18,JOSEPH R. FOUNTAIN,22,2.79
19,JUSTIN J. HURST,36,4.56
20,AMAAD RIVERA,119,15.08
21,CHARLES H. RUCKS,16,2.03
22,MIGUEL. A. SOTO.,108,13.69
23,JOHN W. STEVENS,22,2.79
24,BUD L. WILLIAMS,86,10.90
25,WRITE-IN.,4,.51
26,Blanks,641,
