,0501 5A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1412,
1,BALLOTS CAST - TOTAL.,234,
2,VOTER TURNOUT - TOTAL,,16.57
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,186,82.67
6,SALVATORE S. CIRCOSTA,37,16.44
7,WRITE-IN,2,.89
8,Blanks,9,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,112,13.66
12,JUSTIN J. HURST,150,18.29
13,TIMOTHY J. ROOKE,104,12.68
14,KATERI B. WALSH,122,14.88
15,BUD L. WILLIAMS,165,20.12
16,LaMAR COOK,66,8.05
17,JEFFERY P. DONNELLY,22,2.68
18,JESSE L. LEDERMAN.,45,5.49
19,"KENNETH S. POOLER, JR",15,1.83
20,ALEXANDER J. SHERMAN.,18,2.20
21,WRITE-IN.,1,.12
22,Blanks,350,
23,WARD FIVE COUNCILLOR,,
24,VOTE FOR 1,,
25,CLODO CONCEPCION,38,17.35
26,MARCUS J. WILLIAMS,181,82.65
27,WRITE-IN.,0,
28,Blanks,15,
29,QUESTION 1,,
30,VOTE FOR 1,,
31,"YES (SI),",143,69.42
32,NO (NO),63,30.58
33,Blanks,28,
34,QUESTION 2,,
35,VOTE FOR 1,,
36,YES (SI).,128,66.67
37,NO (NO),64,33.33
38,Blanks,42,
