,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1447,
1,,BALLOTS CAST - TOTAL.,287,
2,,VOTER TURNOUT - TOTAL,,19.83
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,200,69.93
6,,JOSE F. TOSADO.,86,30.07
7,,WRITE-IN.,0,
8,,Blanks,1,
9,,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,,THOMAS ASHE.,162,14.99
11,,JAMES J. FERRERA,122,11.29
12,,TIMOTHY J. ROOKE,150,13.88
13,,KATERI B. WALSH,133,12.30
14,,JOSEPH R. FOUNTAIN,83,7.68
15,,JUSTIN J. HURST,109,10.08
16,,AMAAD RIVERA,55,5.09
17,,CHARLES H. RUCKS,76,7.03
18,,MIGUEL A. SOTO.,68,6.29
19,,BUD L. WILLIAMS,120,11.10
20,,WRITE-IN,3,.28
21,,Blanks,354,
22,,CITY COUNCIL WARD 8,,
23,,VOTE FOR 1,,
24,,JOHN A. LYSAK,148,55.22
25,,ORLANDO RAMOS,119,44.40
26,,WRITE-IN.,1,.37
27,,Blanks,19,
