,REGISTERED VOTERS - TOTAL,VOTES 1603,PERCENT
0,BALLOTS CAST - TOTAL.,80,
1,VOTER TURNOUT - TOTAL,,4.99
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,56,70.89
5,YOLANDA CANCEL.,15,18.99
6,JEFFERY P. DONNELLY,6,7.59
7,LINDA MATYS O'CONNELL,2,2.53
8,WRITE-IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,JUSTIN J. HURST,54,18.06
13,JESSE LEDERMAN.,47,15.72
14,KATERI B. WALSH,36,12.04
15,TRACYE L. WHITFIELD,42,14.05
16,LaMAR COOK,20,6.69
17,SEAN CURRAN.,24,8.03
18,KENCY GILET.,9,3.01
19,JOHNNIE RAY MCKNIGHT.,11,3.68
20,KELLI P. MORIARTY-FINN,11,3.68
21,CHRISTOPHER J. POHNER,26,8.70
22,ISRAEL RIVERA,19,6.35
23,WRITE-IN.,0,
24,Blanks,101,
