,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1283,
1,BALLOTS CAST - TOTAL.,187,
2,VOTER TURNOUT - TOTAL,,14.58
3,,,
4,MAYOR,,
5,VOTE FOR 1,,
6,DOMENIC J. SARNO,143,79.89
7,,,
8,,,
9,Blanks,8,
10,COUNCILLOR AT LARGE,,
11,,,
12,THOMAS ASHE.,77,11.92
13,JUSTIN J. HURST,126,19.50
14,TIMOTHY J. ROOKE,70,10.84
15,,,
16,BUD L. WILLIAMS,145,22.45
17,,,
18,JEFFERY P. DONNELLY,12,1.86
19,JESSE L. LEDERMAN.,48,7.43
20,,,
21,ALEXANDER J. SHERMAN.,12,1.86
22,WRITE-IN.,2,.31
23,,,
24,,,
25,VOTE FOR 1,,
26,E. HENRY TWIGGS,106,62.35
27,VICTORIA E. ROWE,64,37.65
