,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1551,
1,BALLOTS CAST - TOTAL.,98,
2,VOTER TURNOUT - TOTAL,,6.32
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,40,14.08
6,JAMES J. FERRERA,38,13.38
7,TIMOTHY ROOKE .,30,10.56
8,KATERI B. WALSH .,37,13.03
9,BUD L. WILLIAMS .,35,12.32
10,JOSHUA CARPENTER .,14,4.93
11,ERNESTO E. CRUZ,45,15.85
12,JEFFERY P. DONNELLY,16,5.63
13,JUSTIN J. HURST,29,10.21
14,WRITE-IN,0,
15,Blanks,206,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,49,65.33
19,SALVATORE S. CIRCOSTA,26,34.67
20,WRITE-IN.,0,
21,Blanks,23,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE M. HURST,39,35.78
25,ANTONETTE PEPE.,47,43.12
26,CALVIN J. McFADDEN,23,21.10
27,WRITE-IN,0,
28,Blanks,87,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,NORMAN ROLDAN,21,26.92
32,ROSA PEREZ,56,71.79
33,WRITE-IN.,1,1.28
34,Blanks,20,
