,0601 6A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1256,
1,BALLOTS CAST - TOTAL.,190,
2,VOTER TURNOUT - TOTAL,,15.13
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,122,64.55
6,JOSE F. TOSADO.,65,34.39
7,WRITE-IN.,2,1.06
8,Blanks,1,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,97,14.61
12,JAMES J. FERRERA,65,9.79
13,TIMOTHY J. ROOKE .,86,12.95
14,KATERI B. WALSH .,86,12.95
15,JOSEPH R. FOUNTAIN,33,4.97
16,JUSTIN J. HURST .,50,7.53
17,AMAAD RIVERA,81,12.20
18,CHARLES H. RUCKS,45,6.78
19,MIGUEL A. SOTO.,39,5.87
20,BUD L. WILLIAMS,69,10.39
21,WRITE-IN,13,1.96
22,Blanks,286,
23,CITY COUNCIL WARD 6,,
24,VOTE FOR 1,,
25,KENNETH E. SHEA,106,76.81
26,WRITE-IN.,32,23.19
27,Blanks,52,
