,0406 4F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,466,
1,BALLOTS CAST - TOTAL.,34,
2,VOTER TURNOUT - TOTAL,,7.30
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,11,9.65
6,JUSTIN J. HURST,24,21.05
7,KATERI B. WALSH,11,9.65
8,ERNESTO E. CRUZ .,6,5.26
9,VICTOR G. DAVILA,8,7.02
10,MARILYN FELIX,3,2.63
11,JESSE LEDERMAN.,12,10.53
12,JYNAI S. McDONALD.,7,6.14
13,KELVIN MOLINA,1,.88
14,KELLI P. MORIARTY-FINN,1,.88
15,TIMOTHY RYAN,1,.88
16,WILLIE J. THOMAS,11,9.65
17,TRACYE L. WHITFIELD,18,15.79
18,WRITE-IN,0,
19,Blanks,56,32.94
20,CITY COUNCIL WARD 4 VOTE FOR 1,,
21,E. HENRY TWIGGS,13,44.83
22,LORENZO D. GAINES.,4,13.79
23,ROBERT J. KELLY,7,24.14
24,LARRY LAWSON,5,17.24
25,CANDEJAH PINK,0,
26,WRITE-IN.,0,
27,Blanks,5,14.71
28,SCHOOL COMMITTEE AT LARGE,,
29,VOTE FOR 2,,
30,DENISE MARIE HURST,19,33.93
31,JAMES M. ANZIANO,0,
32,LaMAR COOK,9,16.07
33,JAMES J. FERRERA III.,4,7.14
34,JOESIAH GONZALEZ,3,5.36
35,RYAN HESS,2,3.57
36,MICHAEL D. KOCSMIERSKY,1,1.79
37,LaTONIA MONROE NAYLOR,18,32.14
38,WRITE-IN.,0,
39,Blanks,12,17.65
40,SCHOOL COMMITTEE DISTRICT 2,,
41,VOTE FOR 1,,
42,BARBARA GRESHAM,15,57.69
43,STEPHANIE MURCHISON-BROWN,9,34.62
44,GISELLE VIZCARRONDO,2,7.69
45,WRITE-IN.,0,
46,Blanks,8,23.53
