,0708 7H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,847,
1,BALLOTS CAST - TOTAL.,201,
2,VOTER TURNOUT - TOTAL,,23.73
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,132,65.35
6,ANTONETTE E. PEPE.,39,19.31
7,JOSE F. TOSADO.,31,15.35
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,107,14.88
13,JAMES J. FERRERA,80,11.13
14,TIMOTHY J. ROOKE,99,13.77
15,KATERI B. WALSH,95,13.21
16,BRUCE SAMUEL ADAMS JR,40,5.56
17,DAVID F. CIAMPI,20,2.78
18,JOSEPH R. FOUNTAIN,20,2.78
19,JUSTIN J. HURST,83,11.54
20,AMAAD RIVERA,18,2.50
21,CHARLES H. RUCKS,37,5.15
22,MIGUEL A. SOTO.,14,1.95
23,JOHN W. STEVENS,25,3.48
24,BUD L. WILLIAMS,80,11.13
25,WRITE-IN.,1,.14
26,Blanks,291,
