,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1599,
1,BALLOTS CAST - TOTAL.,225,
2,VOTER TURNOUT - TOTAL,,14.07
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,121,53.78
6,ANTONETTE E. PEPE.,45,20.00
7,JOSE F. TOSADO.,59,26.22
8,WRITE-IN.,0,
9,Blanks,1,
10,,,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,THOMAS ASHE.,140,16.47
14,JAMES J. FERRERA,86,10.12
15,TIMOTHY J. ROOKE,104,12.24
16,KATERI B. WALSH .,100,11.76
17,BRUCE SAMUEL ADAMS JR .,37,4.35
18,DAVID F. CIAMPI .,10,1.18
19,JOSEPH R. FOUNTAIN,58,6.82
20,JUSTIN J. HURST,55,6.47
21,AMAAD RIVERA,61,7.18
22,CHARLES H. RUCKS,33,3.88
23,MIGUEL A. SOTO. .,55,6.47
24,JOHN W. STEVENS .,32,3.76
25,BUD L. WILLIAMS .,78,9.18
26,WRITE- IN. .,1,.12
27,Blanks,280,
