,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1348,
1,BALLOTS CAST - TOTAL.,232,
2,VOTER TURNOUT - TOTAL,,17.21
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,143,62.17
6,JOSE F. TOSADO.,86,37.39
7,WRITE-IN.,1,.43
8,Blanks,2,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,134,16.09
12,JAMES J. FERRERA,110,13.21
13,TIMOTHY J. ROOKE .,106,12.73
14,KATERI B. WALSH . .,95,11.40
15,JOSEPH R. FOUNTAIN .,66,7.92
16,JUSTIN J. HURST . .,51,6.12
17,AMAAD RIVERA .,82,9.84
18,CHARLES H. RUCKS,34,4.08
19,MIGUEL A. SOTO.,65,7.80
20,BUD L. WILLIAMS,88,10.56
21,WRITE-IN.,2,.24
22,Blanks,327,
23,CITY COUNCIL WARD 2,,
24,VOTE FOR 1,,
25,MICHAEL A. FENTON.,153,98.08
26,WRITE-IN.,3,1.92
27,Blanks,76,
