,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,853,
1,BALLOTS CAST - TOTAL.,303,
2,VOTER TURNOUT - TOTAL,,35.52
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,246,82.00
6,JOSE F. TOSADO.,54,18.00
7,WRITE-IN.,0,
8,Blanks,3,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,177,15.58
11,JAMES J. FERRERA,145,12.76
12,TIMOTHY J. ROOKE,175,15.40
13,KATERI B. WALSH .,162,14.26
14,JOSEPH R. FOUNTAIN,60,5.28
15,JUSTIN J. HURST,134,11.80
16,AMAAD RIVERA,39,3.43
17,CHARLES H. RUCKS,79,6.95
18,MIGUEL A. SOTO.,35,3.08
19,BUD L. WILLIAMS,130,11.44
20,WRITE-IN.,0,
21,Blanks,379,
22,CITY COUNCIL WARD 7,,
23,VOTE FOR 1,,
24,TIMOTHY C. ALLEN,210,99.06
25,WRITE-IN.,2,.94
26,Blanks,91,
