,REGISTERED VOTERS - TOTAL,VOTES 1506,PERCENT
0,BALLOTS CAST - TOTAL.,437,
1,VOTER TURNOUT - TOTAL,,29.02
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,323,75.29
5,SALVATORE S. CIRCOSTA,104,24.24
6,WRITE-IN.,2,.47
7,Blanks,8,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,306,18.49
11,JUSTIN J. HURST,189,11.42
12,TIMOTHY J. ROOKE,304,18.37
13,KATERI B. WALSH,242,14.62
14,BUD L. WILLIAMS,227,13.72
15,LaMAR COOK,64,3.87
16,JEFFERY P. DONNELLY,50,3.02
17,JESSE L. LEDERMAN.,132,7.98
18,"KENNETH S. POOLER, JR",88,5.32
19,ALEXANDER J. SHERMAN.,51,3.08
20,WRITE-Il,2,.12
21,Blanks,530,
22,WARD SEVEN COUNCILLOR,,
23,VOTE FOR 1,,
24,TIMOTHY C. ALLEN,342,84.65
25,LILLIAN GRAY,61,15.10
26,WRITE-IN.,1,.25
27,Blanks,33,
28,QUESTION 1,,
29,VOTE FOR 1,,
30,YES (SI),248,60.19
31,NO (NO),164,39.81
32,Blanks,25,
33,QUESTION 2,,
34,VOTE FOR 1,,
35,YES (SI),169,45.43
36,NO (NO),203,54.57
37,Blanks,65,
