,0704 7D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1512,
1,BALLOTS CAST - TOTAL.,495,
2,VOTER TURNOUT - TOTAL,,32.74
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,391,79.63
6,JOSE F. TOSADO.,97,19.76
7,WRITE-IN.,3,.61
8,Blanks,4,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,324,17.15
12,JAMES J. FERRERA,262,13.87
13,TIMOTHY J. ROOKE,300,15.88
14,KATERI B. WALSH .,264,13.98
15,JOSEPH R. FOUNTAIN,126,6.67
16,JUSTIN J. HURST,175,9.26
17,AMAAD RIVERA,76,4.02
18,CHARLES H. RUCKS,105,5.56
19,MIGUEL A. SOTO.,66,3.49
20,BUD L. WILLIAMS,188,9.95
21,WRITE-IN,3,.16
22,Blanks,586,
23,CITY COUNCIL WARD 7,,
24,VOTE FOR 1,,
25,TIMOTHY C. ALLEN,344,98.85
26,WRITE-IN.,4,1.15
27,Blanks,147,
