,REGISTERED VOTERS - TOTAL,VOTES 1733,PERCENT
0,BALLOTS CAST - TOTAL.,226,
1,VOTER TURNOUT - TOTAL,,13.04
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,172,78.90
5,SALVATORE S. CIRCOSTA,46,21.10
6,WRITE-IN.,0,
7,Blanks,8,
8,COUNCILLOR AT LARGE VOTE FOR 5,,
9,THOMAS ASHE.,154,17.93
10,JUSTIN J. HURST,101,11.76
11,TIMOTHY J. ROOKE,132,15.37
12,KATERI B. WALSH,144,16.76
13,BUD L. WILLIAMS,125,14.55
14,LaMAR COOK,42,4.89
15,JEFFERY P. DONNELLY,39,4.54
16,JESSE L. LEDERMAN.,62,7.22
17,"KENNETH S. POOLER, JR",24,2.79
18,ALEXANDER J. SHERMAN.,34,3.96
19,WRITE-IN.,2,.23
20,Blanks,271,
21,WARD TWO COUNCILLOR,,
22,VOTE FOR 1,,
23,MICHAEL A. FENTON.,173,97.74
24,WRITE-IN.,4,2.26
25,Blanks,49,
26,QUESTION 1,,
27,VOTE FOR 1,,
28,YES (SI),133,63.03
29,(NO),78,36.97
30,Blanks,15,
31,QUESTION 2,,
32,FOR 1,,
33,YES (SI),121,63.02
34,(NO),71,36.98
35,Blanks,34,
