,0401 4A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1444,
1,BALLOTS CAST - TOTAL.,175,
2,VOTER TURNOUT - TOTAL,,12.12
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,91,52.60
6,ANTONETTE E. PEPE.,20,11.56
7,JOSE F. TOSADO.,62,35.84
8,WRITE-IN.,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,60,9.97
12,JAMES J. FERRERA,38,6.31
13,TIMOTHY J. ROOKE,52,8.64
14,KATERI B. WALSH,51,8.47
15,BRUCE SAMUEL. ADAMS JR,15,2.49
16,DAVID F. CIAMPI,14,2.33
17,JOSEPH R. FOUNTAIN,28,4.65
18,JUSTIN J. HURST,84,13.95
19,AMAAD RIVERA,53,8.80
20,CHARLES H. RUCKS,63,10.47
21,MIGUEL A. SOTO.,40,6.64
22,JOHN W. STEVENS,19,3.16
23,BUD L. WILLIAMS,82,13.62
24,WRITE-IN.,3,.50
25,Blanks,273,
