,0201 2A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1512,
1,BALLOTS CAST - TOTAL.,43,
2,VOTER TURNOUT - TOTAL,,2.84
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,21,16.54
6,JUSTIN J. HURST,17,13.39
7,KATERI B. WALSH,16,12.60
8,ERNESTO E. CRUZ .,4,3.15
9,VICTOR G. DAVILA,4,3.15
10,MARILYN FELIX,14,11.02
11,JESSE LEDERMAN.,6,4.72
12,JYNAI S. McDONALD.,4,3.15
13,KELVIN MOLINA,3,2.36
14,KELLI P. MORIARTY-FINN,9,7.09
15,TIMOTHY RYAN,12,9.45
16,WILLIE J. THOMAS,6,4.72
17,TRACYE L. WHITFIELD,11,8.66
18,WRITE-IN.,0,
19,Blanks,88,40.93
20,CITY COUNCIL WARD 2,,
21,VOTE FOR 1,,
22,MICHAEL A. FENTON.,24,61.54
23,KENCY GILET.,7,17.95
24,IVELISSE GONZALEZ.,8,20.51
25,WRITE-IN.,0,
26,Blanks,4,9.30
27,SCHOOL COMMITTEE AT LARGE,,
28,VOTE FOR 2,,
29,DENISE MARIE HURST,13,20.00
30,JAMES M. ANZIANO,7,10.77
31,LaMAR COOK,9,13.85
32,JAMES J. FERRERA III.,9,13.85
33,JOESIAH GONZALEZ,8,"12,31"
34,RYAN HESS,11,16.92
35,MICHAEL D. KOCSMIERSKY,2,3.08
36,LaTONIA MONROE NAYLOR,5,7.69
37,WRITE-IN.,1,1.54
38,Blanks,21,24.42
