,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1404,
1,BALLOTS CAST - TOTAL.,144,
2,VOTER TURNOUT - TOTAL,,10.26
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,109,75.69
6,ANTONETTE E. PEPE.,9,6.25
7,JOSE F. TOSADO.,24,16.67
8,WRITE-) IN.,2,1.39
9,Blanks,0,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,49,10.17
12,JAMES J. FERRERA,23,4.77
13,TIMOTHY J. ROOKE,38,7.88
14,KATERI B. WALSH .,53,11.00
15,BRUCE SAMUEL ADAMS JR . .,17,3.53
16,DAVID F. CIAMPI .,2,.41
17,JOSEPH R. FOUNTAIN .,2,.41
18,JUSTIN J. HURST,84,17.43
19,AMAAD RIVERA,25,5.19
20,CHARLES H. RUCKS,58,12.03
21,MIGUEL A. SOTO.,22,4.56
22,JOHN W. STEVENS,12,2.49
23,BUD L. WILLIAMS,96,19.92
24,WRITE-IN.,1,.21
25,Blanks,238,
