,0306 3F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1476,
1,BALLOTS CAST - TOTAL.,164,
2,VOTER TURNOUT - TOTAL,,11.11
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,113,68.90
6,JOSE F. TOSADO.,47,28.66
7,WRITE-IN,4,2.44
8,Blanks,0,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,80,14.31
12,JAMES J. FERRERA,59,10.55
13,TIMOTHY J. ROOKE .,61,10.91
14,KATERI B. WALSH .,75,13.42
15,JOSEPH R. FOUNTAIN,37,6.62
16,JUSTIN J. HURST,52,9.30
17,AMAAD RIVERA,49,8.77
18,CHARLES H. RUCKS,42,7.51
19,MIGUEL A. SOTO.,39,6.98
20,BUD L. WILLIAMS,63,11.27
21,WRITE-IN.,2,.36
22,Blanks,261,
23,CITY COUNCIL WARD 3,,
24,VOTE FOR 1,,
25,MELVIN A. EDWARDS.,111,98.23
26,WRITE-IN.,2,1.77
27,Blanks,51,
