,,0605 6E,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1366 162,
1,,BALLOTS CAST - TOTAL.,,11.86
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,76,47.80
5,,DOMENIC J. SARNO,23,14.47
6,,ANTONETTE E. PEPE.,60,37.74
7,,JOSE F. TOSADO.,0,
8,,WRITE-IN.,3,
9,,Blanks,,
10,,CITY COUNCIL AT LARGE,,
11,,VOTE FOR 5,61,11.13
12,,THOMAS ASHE.,74,13.50
13,,JAMES J. FERRERA,61,11.13
14,,TIMOTHY J. ROOKE,61,11.13
15,,KATERI B. WALSH,25,4.56
16,,BRUCE SAMUEL ADAMS JR,16,2.92
17,,DAVID F. CIAMPI,21,3.83
18,,JOSEPH R. FOUNTAIN,43,7.85
19,,JUSTIN J. HURST,68,12.41
20,,AMAAD RIVERA,16,2.92
21,,CHARLES H. RUCKS,29,5.29
22,,MIGUEL A. SOTO.,10,1.82
23,,JOHN W. STEVENS,55,10.04
24,,BUD L. WILLIAMS,8,1.46
25,,WRITE-IN.,262,
26,,Blanks,,
