,,0105 1E VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL,1686 225,
1,,BALLOTS CAST - TOTAL. VOTER TURNOUT - TOTAL,,13.35
2,,MAYOR,,
3,,VOTE FOR 1,170,79.44
4,,DOMENIC J. SARNO,44,20.56
5,,SALVATORE S. CIRCOSTA,0,
6,,WRITE-IN.,11,
7,,Blanks,,
8,,COUNCILLOR AT LARGE,,
9,,VOTE FOR 5,116,18.18
10,,THOMAS ASHE.,91,14.26
11,,JUSTIN J. HURST,80,12.54
12,,TIMOTHY J. ROOKE,79,12.38
13,,KATERI B. WALSH,125,19.59
14,,BUD L. WILLIAMS,31,4.86
15,,LaMAR COOK,32,5.02
16,,JEFFERY P. DONNELLY,36,5.64
17,,JESSE L. LEDERMAN.,23,3.61
18,,"KENNETH S. POOLER, JR",23,3.61
19,,ALEXANDER J. SHERMAN.,2,.31
20,,WRITE-IN.,487,
21,,Blanks,,
22,,WARD ONE COUNCILLOR,,
23,,VOTE FOR 1,80,39.80
24,,ZAIDA LUNA,120,59.70
25,,ADAM GOMEZ,1,.50
26,,WRITE-IN.,24,
27,,Blanks,,
28,,QUESTION 1,,
29,,VOTE FOR 1,158,84.04
30,,YES (SI),30,15.96
31,,NO (NO),37,
32,,Blanks,,
33,,QUESTION 2,,
34,,VOTE FOR 1,145,81.92
35,,YES (SI),,32 18.08
36,,NO (NO),,48
